Age;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
982;9.079;9.909;10.44;10.736;11.215;11.553;12.078;13.143;14.335;15.034;15.533;16.312;16.847;17.92;19.979
983;9.082;9.913;10.445;10.741;11.22;11.559;12.084;13.15;14.342;15.041;15.54;16.321;16.855;17.929;19.99
984;9.087;9.918;10.449;10.746;11.225;11.564;12.089;13.156;14.349;15.049;15.548;16.329;16.864;17.938;20
985;9.09;9.922;10.454;10.751;11.23;11.569;12.095;13.162;14.356;15.056;15.556;16.337;16.873;17.948;20.011
986;9.094;9.927;10.459;10.756;11.235;11.575;12.101;13.168;14.363;15.064;15.564;16.346;16.881;17.958;20.022
987;9.098;9.931;10.463;10.76;11.24;11.58;12.106;13.175;14.37;15.071;15.571;16.354;16.89;17.967;20.033
988;9.102;9.935;10.468;10.765;11.245;11.585;12.112;13.181;14.377;15.079;15.579;16.362;16.898;17.976;20.043
989;9.106;9.94;10.473;10.77;11.25;11.59;12.118;13.187;14.384;15.086;15.587;16.371;16.907;17.986;20.055
990;9.11;9.944;10.477;10.775;11.255;11.596;12.123;13.193;14.391;15.094;15.595;16.379;16.916;17.995;20.065
991;9.114;9.948;10.482;10.78;11.261;11.601;12.129;13.2;14.398;15.101;15.603;16.387;16.925;18.005;20.077
992;9.118;9.953;10.487;10.785;11.266;11.606;12.134;13.206;14.405;15.108;15.61;16.395;16.933;18.014;20.087
993;9.122;9.957;10.491;10.79;11.271;11.612;12.14;13.212;14.412;15.116;15.618;16.404;16.942;18.023;20.098
994;9.126;9.962;10.496;10.794;11.276;11.617;12.146;13.219;14.419;15.123;15.626;16.412;16.951;18.033;20.109
995;9.129;9.966;10.501;10.799;11.281;11.622;12.151;13.225;14.426;15.131;15.634;16.42;16.959;18.042;20.12
996;9.134;9.97;10.505;10.804;11.286;11.628;12.157;13.231;14.433;15.138;15.641;16.429;16.968;18.051;20.13
997;9.137;9.975;10.51;10.809;11.291;11.633;12.162;13.237;14.44;15.146;15.649;16.437;16.976;18.061;20.141
998;9.141;9.979;10.515;10.814;11.296;11.638;12.168;13.244;14.447;15.153;15.657;16.445;16.985;18.07;20.153
999;9.145;9.983;10.519;10.818;11.301;11.643;12.174;13.25;14.454;15.161;15.665;16.454;16.994;18.08;20.163
1000;9.149;9.988;10.524;10.823;11.307;11.649;12.179;13.256;14.461;15.168;15.673;16.462;17.003;18.089;20.175
1001;9.153;9.992;10.529;10.828;11.312;11.654;12.185;13.262;14.468;15.175;15.68;16.47;17.011;18.098;20.185
1002;9.157;9.996;10.533;10.833;11.317;11.659;12.19;13.268;14.475;15.183;15.688;16.478;17.02;18.108;20.196
1003;9.161;10.001;10.538;10.838;11.322;11.665;12.196;13.275;14.482;15.19;15.696;16.487;17.029;18.117;20.207
1004;9.165;10.005;10.542;10.842;11.327;11.67;12.202;13.281;14.489;15.198;15.704;16.495;17.037;18.127;20.218
1005;9.168;10.009;10.547;10.847;11.332;11.675;12.207;13.287;14.496;15.205;15.712;16.503;17.046;18.136;20.229
1006;9.172;10.014;10.552;10.852;11.337;11.68;12.213;13.293;14.503;15.213;15.719;16.511;17.054;18.145;20.239
1007;9.176;10.018;10.556;10.857;11.342;11.686;12.218;13.3;14.51;15.22;15.727;16.52;17.063;18.155;20.25
1008;9.18;10.022;10.561;10.862;11.347;11.691;12.224;13.306;14.517;15.228;15.735;16.528;17.072;18.164;20.261
1009;9.184;10.027;10.566;10.866;11.352;11.696;12.23;13.312;14.524;15.235;15.743;16.537;17.081;18.174;20.272
1010;9.188;10.031;10.57;10.871;11.357;11.701;12.235;13.318;14.531;15.243;15.75;16.545;17.089;18.183;20.283
1011;9.192;10.035;10.575;10.876;11.362;11.707;12.241;13.325;14.538;15.25;15.758;16.553;17.098;18.193;20.294
1012;9.196;10.04;10.58;10.881;11.367;11.712;12.246;13.331;14.545;15.257;15.766;16.561;17.106;18.202;20.305
1013;9.199;10.044;10.584;10.886;11.373;11.717;12.252;13.337;14.552;15.265;15.774;16.57;17.115;18.211;20.316
1014;9.203;10.048;10.589;10.89;11.378;11.723;12.258;13.343;14.559;15.272;15.781;16.578;17.124;18.221;20.327
1015;9.207;10.053;10.593;10.895;11.383;11.728;12.263;13.35;14.566;15.28;15.789;16.586;17.133;18.23;20.338
1016;9.211;10.057;10.598;10.9;11.388;11.733;12.269;13.356;14.573;15.287;15.797;16.595;17.141;18.24;20.349
1017;9.215;10.061;10.602;10.905;11.393;11.738;12.274;13.362;14.58;15.295;15.805;16.603;17.15;18.249;20.36
1018;9.219;10.065;10.607;10.91;11.398;11.744;12.28;13.368;14.587;15.302;15.813;16.611;17.159;18.259;20.371
1019;9.223;10.07;10.612;10.914;11.403;11.749;12.285;13.374;14.594;15.309;15.82;16.619;17.167;18.268;20.381
1020;9.226;10.074;10.616;10.919;11.408;11.754;12.291;13.381;14.601;15.317;15.828;16.628;17.176;18.277;20.392
1021;9.23;10.078;10.621;10.924;11.413;11.759;12.296;13.387;14.608;15.324;15.836;16.636;17.184;18.287;20.403
1022;9.234;10.083;10.626;10.929;11.418;11.765;12.302;13.393;14.615;15.332;15.844;16.644;17.193;18.296;20.414
1023;9.238;10.087;10.63;10.933;11.423;11.77;12.308;13.399;14.622;15.339;15.851;16.653;17.202;18.306;20.425
1024;9.242;10.091;10.635;10.938;11.428;11.775;12.313;13.406;14.629;15.347;15.859;16.661;17.211;18.315;20.436
1025;9.246;10.096;10.639;10.943;11.433;11.78;12.319;13.412;14.636;15.354;15.867;16.669;17.219;18.325;20.447
1026;9.249;10.1;10.644;10.948;11.438;11.785;12.324;13.418;14.643;15.362;15.875;16.678;17.228;18.334;20.458
1027;9.253;10.104;10.649;10.952;11.443;11.791;12.33;13.424;14.65;15.369;15.883;16.686;17.237;18.344;20.469
1028;9.257;10.108;10.653;10.957;11.448;11.796;12.335;13.43;14.657;15.377;15.89;16.694;17.245;18.353;20.48
1029;9.261;10.113;10.658;10.962;11.453;11.801;12.341;13.437;14.664;15.384;15.898;16.702;17.254;18.362;20.491
1030;9.265;10.117;10.662;10.967;11.458;11.807;12.347;13.443;14.671;15.391;15.906;16.711;17.263;18.372;20.502
1031;9.269;10.121;10.667;10.972;11.463;11.812;12.352;13.449;14.678;15.399;15.914;16.719;17.271;18.381;20.513
1032;9.272;10.126;10.672;10.976;11.468;11.817;12.358;13.455;14.685;15.406;15.921;16.727;17.28;18.391;20.524
1033;9.276;10.13;10.676;10.981;11.473;11.822;12.363;13.461;14.692;15.414;15.929;16.736;17.289;18.4;20.535
1034;9.28;10.134;10.681;10.986;11.479;11.827;12.369;13.468;14.699;15.421;15.937;16.744;17.297;18.41;20.546
1035;9.284;10.139;10.685;10.991;11.484;11.833;12.374;13.474;14.706;15.429;15.945;16.752;17.306;18.419;20.557
1036;9.288;10.143;10.69;10.995;11.489;11.838;12.38;13.48;14.713;15.436;15.953;16.761;17.315;18.429;20.568
1037;9.291;10.147;10.694;11;11.494;11.843;12.385;13.486;14.72;15.444;15.96;16.769;17.323;18.438;20.579
1038;9.295;10.151;10.699;11.005;11.499;11.848;12.391;13.493;14.727;15.451;15.968;16.777;17.332;18.447;20.59
1039;9.299;10.156;10.703;11.009;11.504;11.854;12.396;13.499;14.734;15.458;15.976;16.786;17.341;18.457;20.601
1040;9.303;10.16;10.708;11.014;11.509;11.859;12.402;13.505;14.741;15.466;15.984;16.794;17.35;18.466;20.612
1041;9.307;10.164;10.713;11.019;11.514;11.864;12.407;13.511;14.748;15.473;15.991;16.802;17.358;18.476;20.623
1042;9.31;10.168;10.717;11.024;11.519;11.869;12.413;13.517;14.755;15.481;15.999;16.811;17.367;18.485;20.634
1043;9.314;10.173;10.722;11.028;11.524;11.874;12.419;13.524;14.762;15.488;16.007;16.819;17.376;18.495;20.645
1044;9.318;10.177;10.726;11.033;11.529;11.88;12.424;13.53;14.769;15.496;16.015;16.827;17.384;18.504;20.656
1045;9.322;10.181;10.731;11.038;11.534;11.885;12.43;13.536;14.776;15.503;16.023;16.836;17.393;18.514;20.667
1046;9.326;10.185;10.735;11.043;11.539;11.89;12.435;13.542;14.783;15.51;16.03;16.844;17.402;18.523;20.678
1047;9.329;10.19;10.74;11.047;11.544;11.895;12.441;13.548;14.79;15.518;16.038;16.852;17.411;18.533;20.689
1048;9.333;10.194;10.745;11.052;11.549;11.901;12.446;13.555;14.797;15.525;16.046;16.86;17.419;18.542;20.699
1049;9.337;10.198;10.749;11.057;11.554;11.906;12.452;13.561;14.803;15.533;16.054;16.869;17.428;18.551;20.71
1050;9.341;10.203;10.754;11.062;11.559;11.911;12.457;13.567;14.81;15.54;16.061;16.877;17.436;18.561;20.721
1051;9.345;10.207;10.758;11.066;11.564;11.916;12.463;13.573;14.817;15.548;16.069;16.885;17.445;18.57;20.732
1052;9.349;10.211;10.763;11.071;11.569;11.921;12.468;13.579;14.824;15.555;16.077;16.894;17.454;18.58;20.744
1053;9.352;10.215;10.767;11.076;11.574;11.927;12.474;13.586;14.831;15.562;16.085;16.902;17.462;18.589;20.754
1054;9.356;10.219;10.772;11.08;11.579;11.932;12.479;13.592;14.838;15.57;16.093;16.911;17.471;18.599;20.766
1055;9.36;10.224;10.776;11.085;11.584;11.937;12.485;13.598;14.845;15.577;16.1;16.919;17.48;18.609;20.777
1056;9.363;10.228;10.781;11.09;11.589;11.942;12.49;13.604;14.852;15.585;16.108;16.927;17.489;18.618;20.788
1057;9.367;10.232;10.785;11.095;11.594;11.947;12.496;13.61;14.859;15.592;16.116;16.936;17.498;18.628;20.799
1058;9.371;10.236;10.79;11.099;11.599;11.953;12.502;13.617;14.866;15.6;16.124;16.944;17.506;18.637;20.81
1059;9.375;10.241;10.795;11.104;11.604;11.958;12.507;13.623;14.873;15.607;16.132;16.952;17.515;18.647;20.821
1060;9.379;10.245;10.799;11.109;11.609;11.963;12.513;13.629;14.88;15.615;16.139;16.961;17.524;18.656;20.833
1061;9.382;10.249;10.804;11.113;11.614;11.968;12.518;13.635;14.887;15.622;16.147;16.969;17.532;18.666;20.844
1062;9.386;10.253;10.808;11.118;11.619;11.973;12.524;13.641;14.894;15.63;16.155;16.977;17.541;18.675;20.855
1063;9.39;10.257;10.813;11.123;11.624;11.979;12.529;13.648;14.901;15.637;16.163;16.986;17.55;18.685;20.866
1064;9.394;10.262;10.817;11.128;11.629;11.984;12.535;13.654;14.908;15.645;16.171;16.994;17.559;18.694;20.877
1065;9.397;10.266;10.822;11.132;11.634;11.989;12.54;13.66;14.915;15.652;16.178;17.002;17.567;18.704;20.888
1066;9.401;10.27;10.826;11.137;11.639;11.994;12.546;13.666;14.922;15.659;16.186;17.011;17.576;18.713;20.899
1067;9.405;10.274;10.831;11.142;11.644;11.999;12.551;13.672;14.929;15.667;16.194;17.019;17.585;18.723;20.91
1068;9.409;10.279;10.835;11.146;11.649;12.005;12.557;13.679;14.936;15.674;16.202;17.027;17.593;18.732;20.921
1069;9.413;10.283;10.84;11.151;11.654;12.01;12.562;13.685;14.943;15.682;16.21;17.036;17.602;18.742;20.932
1070;9.416;10.287;10.845;11.156;11.659;12.015;12.568;13.691;14.95;15.689;16.217;17.044;17.611;18.751;20.943
1071;9.42;10.291;10.849;11.161;11.664;12.02;12.573;13.697;14.957;15.697;16.225;17.052;17.62;18.761;20.954
1072;9.424;10.296;10.854;11.165;11.669;12.025;12.579;13.703;14.964;15.704;16.233;17.061;17.628;18.77;20.965
1073;9.427;10.3;10.858;11.17;11.674;12.031;12.584;13.71;14.971;15.712;16.241;17.069;17.637;18.78;20.977
1074;9.431;10.304;10.863;11.175;11.679;12.036;12.59;13.716;14.978;15.719;16.249;17.078;17.646;18.79;20.988
1075;9.435;10.308;10.867;11.179;11.684;12.041;12.595;13.722;14.985;15.727;16.256;17.086;17.655;18.799;20.999
1076;9.439;10.312;10.872;11.184;11.689;12.046;12.601;13.728;14.992;15.734;16.264;17.094;17.664;18.808;21.01
1077;9.443;10.317;10.876;11.189;11.694;12.051;12.606;13.734;14.999;15.741;16.272;17.103;17.672;18.818;21.021
1078;9.446;10.321;10.881;11.193;11.699;12.057;12.612;13.74;15.006;15.749;16.28;17.111;17.681;18.827;21.032
1079;9.45;10.325;10.885;11.198;11.704;12.062;12.617;13.747;15.013;15.756;16.288;17.119;17.69;18.837;21.043
1080;9.454;10.329;10.89;11.203;11.709;12.067;12.623;13.753;15.02;15.764;16.295;17.128;17.698;18.847;21.054
1081;9.458;10.334;10.894;11.208;11.714;12.072;12.629;13.759;15.027;15.771;16.303;17.136;17.707;18.856;21.065
1082;9.461;10.338;10.899;11.212;11.718;12.077;12.634;13.765;15.034;15.779;16.311;17.145;17.716;18.866;21.077
1083;9.465;10.342;10.903;11.217;11.723;12.082;12.639;13.771;15.041;15.786;16.319;17.153;17.725;18.876;21.088
1084;9.469;10.346;10.908;11.222;11.728;12.088;12.645;13.778;15.048;15.794;16.327;17.161;17.734;18.885;21.1
1085;9.472;10.35;10.912;11.226;11.733;12.093;12.651;13.784;15.055;15.801;16.335;17.17;17.742;18.895;21.111
1086;9.476;10.354;10.917;11.231;11.738;12.098;12.656;13.79;15.062;15.809;16.342;17.178;17.751;18.904;21.122
1087;9.48;10.359;10.921;11.236;11.743;12.103;12.661;13.796;15.069;15.816;16.35;17.186;17.76;18.913;21.133
1088;9.484;10.363;10.926;11.24;11.748;12.108;12.667;13.802;15.076;15.824;16.358;17.195;17.769;18.923;21.144
1089;9.487;10.367;10.93;11.245;11.753;12.113;12.672;13.809;15.083;15.831;16.366;17.203;17.778;18.933;21.156
1090;9.491;10.371;10.935;11.25;11.758;12.119;12.678;13.815;15.09;15.839;16.374;17.212;17.786;18.942;21.167
1091;9.495;10.375;10.939;11.254;11.763;12.124;12.684;13.821;15.097;15.846;16.382;17.22;17.795;18.952;21.178
1092;9.499;10.38;10.944;11.259;11.768;12.129;12.689;13.827;15.104;15.854;16.389;17.228;17.804;18.962;21.189
1093;9.502;10.384;10.948;11.264;11.773;12.134;12.695;13.833;15.111;15.861;16.397;17.237;17.813;18.971;21.2
1094;9.506;10.388;10.953;11.268;11.778;12.139;12.7;13.84;15.118;15.868;16.405;17.245;17.821;18.981;21.211
1095;9.51;10.392;10.957;11.273;11.783;12.144;12.705;13.846;15.125;15.876;16.413;17.254;17.83;18.99;21.223
1096;9.513;10.396;10.962;11.278;11.788;12.15;12.711;13.852;15.132;15.883;16.421;17.262;17.839;19;21.234
1097;9.517;10.4;10.966;11.282;11.793;12.155;12.716;13.858;15.139;15.891;16.428;17.27;17.848;19.01;21.245
1098;9.521;10.405;10.971;11.287;11.798;12.16;12.722;13.864;15.146;15.898;16.436;17.279;17.856;19.019;21.256
1099;9.525;10.409;10.975;11.292;11.803;12.165;12.728;13.87;15.153;15.906;16.444;17.287;17.865;19.029;21.267
1100;9.528;10.413;10.98;11.296;11.808;12.17;12.733;13.877;15.16;15.913;16.452;17.296;17.874;19.039;21.279
1101;9.532;10.417;10.984;11.301;11.813;12.176;12.738;13.883;15.167;15.921;16.46;17.304;17.883;19.048;21.29
1102;9.536;10.421;10.989;11.306;11.818;12.181;12.744;13.889;15.174;15.928;16.468;17.312;17.892;19.058;21.301
1103;9.539;10.426;10.993;11.31;11.823;12.186;12.749;13.895;15.181;15.936;16.475;17.321;17.9;19.067;21.312
1104;9.543;10.43;10.998;11.315;11.828;12.191;12.755;13.901;15.188;15.943;16.483;17.329;17.909;19.077;21.323
1105;9.547;10.434;11.002;11.32;11.833;12.196;12.76;13.908;15.195;15.951;16.491;17.338;17.918;19.087;21.335
1106;9.55;10.438;11.007;11.324;11.838;12.201;12.766;13.914;15.202;15.958;16.499;17.346;17.927;19.096;21.346
1107;9.554;10.442;11.011;11.329;11.843;12.207;12.771;13.92;15.209;15.966;16.507;17.354;17.936;19.106;21.358
1108;9.558;10.446;11.016;11.334;11.848;12.212;12.777;13.926;15.216;15.973;16.515;17.363;17.945;19.115;21.369
1109;9.562;10.451;11.02;11.338;11.852;12.217;12.782;13.932;15.223;15.981;16.522;17.371;17.953;19.125;21.38
1110;9.565;10.455;11.024;11.343;11.857;12.222;12.788;13.938;15.23;15.988;16.53;17.38;17.962;19.135;21.391
1111;9.569;10.459;11.029;11.348;11.862;12.227;12.793;13.945;15.237;15.996;16.538;17.388;17.971;19.144;21.402
1112;9.573;10.463;11.034;11.352;11.867;12.232;12.799;13.951;15.244;16.003;16.546;17.396;17.98;19.154;21.414
1113;9.576;10.467;11.038;11.357;11.872;12.237;12.804;13.957;15.251;16.011;16.554;17.405;17.988;19.163;21.425
1114;9.58;10.471;11.042;11.361;11.877;12.243;12.81;13.963;15.258;16.018;16.562;17.413;17.998;19.173;21.437
1115;9.584;10.475;11.047;11.366;11.882;12.248;12.815;13.969;15.265;16.026;16.57;17.422;18.006;19.183;21.448
1116;9.587;10.48;11.051;11.371;11.887;12.253;12.821;13.976;15.272;16.033;16.577;17.43;18.015;19.192;21.459
1117;9.591;10.484;11.056;11.375;11.892;12.258;12.826;13.982;15.279;16.041;16.585;17.439;18.024;19.202;21.471
1118;9.595;10.488;11.06;11.38;11.897;12.263;12.832;13.988;15.286;16.048;16.593;17.447;18.033;19.212;21.482
1119;9.598;10.492;11.065;11.385;11.902;12.268;12.837;13.994;15.293;16.056;16.601;17.455;18.042;19.221;21.493
1120;9.602;10.496;11.069;11.389;11.907;12.274;12.843;14;15.3;16.063;16.609;17.464;18.05;19.231;21.504
1121;9.605;10.5;11.074;11.394;11.912;12.279;12.848;14.006;15.307;16.071;16.617;17.472;18.059;19.241;21.516
1122;9.609;10.505;11.078;11.399;11.917;12.284;12.854;14.013;15.314;16.078;16.625;17.481;18.068;19.251;21.527
1123;9.613;10.509;11.083;11.403;11.922;12.289;12.859;14.019;15.321;16.086;16.632;17.489;18.077;19.26;21.538
1124;9.617;10.513;11.087;11.408;11.927;12.294;12.865;14.025;15.328;16.093;16.64;17.498;18.086;19.27;21.549
1125;9.62;10.517;11.091;11.413;11.931;12.299;12.87;14.031;15.335;16.101;16.648;17.506;18.095;19.28;21.561
1126;9.624;10.521;11.096;11.417;11.936;12.304;12.876;14.037;15.342;16.108;16.656;17.514;18.103;19.289;21.572
1127;9.628;10.525;11.1;11.422;11.941;12.309;12.881;14.044;15.349;16.116;16.664;17.523;18.112;19.299;21.583
1128;9.631;10.529;11.105;11.426;11.946;12.315;12.887;14.05;15.356;16.123;16.672;17.531;18.121;19.309;21.595
1129;9.635;10.534;11.109;11.431;11.951;12.32;12.892;14.056;15.363;16.131;16.68;17.54;18.13;19.318;21.607
1130;9.639;10.538;11.114;11.436;11.956;12.325;12.898;14.062;15.37;16.138;16.688;17.548;18.139;19.328;21.618
1131;9.642;10.542;11.118;11.44;11.961;12.33;12.903;14.068;15.377;16.146;16.695;17.557;18.148;19.338;21.63
1132;9.646;10.546;11.123;11.445;11.966;12.335;12.908;14.074;15.384;16.153;16.703;17.565;18.157;19.347;21.641
1133;9.65;10.55;11.127;11.45;11.971;12.34;12.914;14.081;15.391;16.161;16.711;17.574;18.165;19.357;21.652
1134;9.653;10.554;11.131;11.454;11.976;12.345;12.919;14.087;15.398;16.168;16.719;17.582;18.175;19.367;21.664
1135;9.657;10.558;11.136;11.459;11.981;12.351;12.925;14.093;15.405;16.176;16.727;17.591;18.183;19.377;21.675
1136;9.661;10.562;11.14;11.463;11.986;12.356;12.93;14.099;15.412;16.183;16.735;17.599;18.192;19.386;21.686
1137;9.664;10.566;11.145;11.468;11.99;12.361;12.936;14.105;15.419;16.191;16.743;17.608;18.201;19.396;21.698
1138;9.668;10.571;11.149;11.473;11.995;12.366;12.941;14.112;15.426;16.198;16.751;17.616;18.21;19.406;21.709
1139;9.672;10.575;11.154;11.477;12;12.371;12.947;14.118;15.433;16.206;16.758;17.624;18.219;19.415;21.72
1140;9.675;10.579;11.158;11.482;12.005;12.376;12.952;14.124;15.44;16.213;16.766;17.633;18.228;19.425;21.732
1141;9.679;10.583;11.163;11.487;12.01;12.381;12.958;14.13;15.447;16.221;16.774;17.641;18.236;19.435;21.743
1142;9.682;10.587;11.167;11.491;12.015;12.387;12.963;14.136;15.454;16.228;16.782;17.65;18.245;19.444;21.754
1143;9.686;10.591;11.171;11.496;12.02;12.392;12.969;14.142;15.461;16.236;16.79;17.658;18.254;19.454;21.766
1144;9.69;10.595;11.176;11.5;12.025;12.397;12.974;14.149;15.468;16.243;16.798;17.667;18.263;19.464;21.777
1145;9.693;10.599;11.18;11.505;12.03;12.402;12.979;14.155;15.475;16.251;16.806;17.675;18.272;19.474;21.789
1146;9.697;10.604;11.185;11.51;12.035;12.407;12.985;14.161;15.482;16.258;16.814;17.684;18.281;19.484;21.801
1147;9.701;10.608;11.189;11.514;12.04;12.412;12.991;14.167;15.489;16.266;16.821;17.692;18.29;19.493;21.812
1148;9.704;10.612;11.194;11.519;12.044;12.417;12.996;14.173;15.496;16.273;16.829;17.701;18.299;19.503;21.824
1149;9.708;10.616;11.198;11.523;12.049;12.422;13.001;14.179;15.503;16.281;16.837;17.709;18.308;19.513;21.835
1150;9.711;10.62;11.203;11.528;12.054;12.427;13.007;14.186;15.51;16.288;16.845;17.718;18.316;19.522;21.846
1151;9.715;10.624;11.207;11.533;12.059;12.432;13.012;14.192;15.517;16.296;16.853;17.726;18.325;19.532;21.858
1152;9.719;10.628;11.211;11.537;12.064;12.438;13.018;14.198;15.524;16.303;16.861;17.734;18.334;19.542;21.869
1153;9.722;10.632;11.216;11.542;12.069;12.443;13.023;14.204;15.531;16.311;16.869;17.743;18.343;19.552;21.881
1154;9.726;10.636;11.22;11.546;12.074;12.448;13.029;14.21;15.538;16.318;16.877;17.752;18.352;19.561;21.892
1155;9.73;10.641;11.225;11.551;12.079;12.453;13.034;14.216;15.545;16.326;16.884;17.76;18.361;19.571;21.903
1156;9.733;10.645;11.229;11.556;12.084;12.458;13.04;14.223;15.552;16.333;16.892;17.769;18.37;19.581;21.915
1157;9.737;10.649;11.233;11.56;12.089;12.463;13.045;14.229;15.559;16.341;16.9;17.777;18.379;19.591;21.926
1158;9.74;10.653;11.238;11.565;12.093;12.468;13.05;14.235;15.566;16.348;16.908;17.786;18.388;19.601;21.938
1159;9.744;10.657;11.242;11.569;12.098;12.473;13.056;14.241;15.573;16.356;16.916;17.794;18.397;19.61;21.95
1160;9.747;10.661;11.246;11.574;12.103;12.478;13.061;14.247;15.58;16.364;16.924;17.803;18.406;19.62;21.961
1161;9.751;10.665;11.251;11.579;12.108;12.484;13.067;14.253;15.587;16.371;16.932;17.811;18.414;19.63;21.973
1162;9.755;10.669;11.255;11.583;12.113;12.489;13.072;14.26;15.594;16.378;16.94;17.819;18.423;19.639;21.984
1163;9.758;10.673;11.26;11.588;12.118;12.494;13.078;14.266;15.601;16.386;16.948;17.828;18.432;19.649;21.996
1164;9.762;10.677;11.264;11.592;12.123;12.499;13.083;14.272;15.608;16.394;16.955;17.836;18.441;19.659;22.007
1165;9.765;10.681;11.269;11.597;12.128;12.504;13.089;14.278;15.615;16.401;16.964;17.845;18.45;19.669;22.019
1166;9.769;10.686;11.273;11.602;12.133;12.509;13.094;14.284;15.622;16.409;16.971;17.853;18.459;19.679;22.03
1167;9.772;10.689;11.277;11.606;12.137;12.514;13.099;14.29;15.629;16.416;16.979;17.862;18.468;19.689;22.042
1168;9.776;10.694;11.282;11.611;12.142;12.519;13.105;14.297;15.636;16.424;16.987;17.87;18.477;19.698;22.053
1169;9.78;10.698;11.286;11.615;12.147;12.524;13.11;14.303;15.643;16.431;16.995;17.879;18.486;19.708;22.065
1170;9.783;10.702;11.291;11.62;12.152;12.53;13.116;14.309;15.65;16.439;17.003;17.887;18.495;19.718;22.076
1171;9.787;10.706;11.295;11.624;12.157;12.535;13.121;14.315;15.657;16.446;17.011;17.896;18.504;19.728;22.088
1172;9.791;10.71;11.299;11.629;12.162;12.54;13.127;14.321;15.664;16.454;17.019;17.905;18.513;19.738;22.1
1173;9.794;10.714;11.304;11.634;12.167;12.545;13.132;14.327;15.671;16.461;17.027;17.913;18.521;19.747;22.111
1174;9.798;10.718;11.308;11.638;12.172;12.55;13.138;14.334;15.678;16.469;17.035;17.921;18.53;19.757;22.122
1175;9.801;10.722;11.313;11.643;12.176;12.555;13.143;14.34;15.685;16.476;17.042;17.93;18.539;19.767;22.134
1176;9.805;10.726;11.317;11.647;12.181;12.56;13.148;14.346;15.692;16.484;17.05;17.939;18.548;19.777;22.146
1177;9.809;10.73;11.321;11.652;12.186;12.565;13.154;14.352;15.699;16.491;17.058;17.947;18.557;19.786;22.157
1178;9.812;10.734;11.326;11.656;12.191;12.57;13.159;14.358;15.706;16.499;17.066;17.956;18.566;19.796;22.169
1179;9.816;10.738;11.33;11.661;12.196;12.575;13.165;14.364;15.713;16.507;17.074;17.964;18.575;19.806;22.18
1180;9.819;10.742;11.334;11.665;12.201;12.58;13.17;14.371;15.72;16.514;17.082;17.973;18.584;19.816;22.192
1181;9.823;10.747;11.339;11.67;12.206;12.586;13.176;14.377;15.727;16.522;17.09;17.981;18.593;19.826;22.203
1182;9.826;10.75;11.343;11.675;12.211;12.591;13.181;14.383;15.734;16.529;17.098;17.99;18.602;19.836;22.215
1183;9.83;10.755;11.348;11.679;12.215;12.596;13.186;14.389;15.741;16.537;17.106;17.998;18.611;19.845;22.226
1184;9.833;10.759;11.352;11.684;12.22;12.601;13.192;14.395;15.748;16.544;17.114;18.007;18.62;19.855;22.238
1185;9.837;10.763;11.356;11.688;12.225;12.606;13.197;14.401;15.755;16.552;17.122;18.015;18.629;19.865;22.249
1186;9.841;10.767;11.361;11.693;12.23;12.611;13.203;14.408;15.762;16.559;17.13;18.024;18.638;19.875;22.262
1187;9.844;10.771;11.365;11.697;12.235;12.616;13.208;14.414;15.769;16.567;17.137;18.032;18.646;19.884;22.273
1188;9.848;10.775;11.369;11.702;12.24;12.621;13.214;14.42;15.776;16.574;17.145;18.041;18.656;19.895;22.285
1189;9.851;10.779;11.374;11.706;12.244;12.626;13.219;14.426;15.783;16.582;17.153;18.049;18.665;19.905;22.297
1190;9.855;10.783;11.378;11.711;12.249;12.631;13.224;14.432;15.79;16.589;17.161;18.058;18.674;19.914;22.308
1191;9.858;10.787;11.382;11.715;12.254;12.636;13.23;14.438;15.797;16.597;17.169;18.066;18.683;19.924;22.32
1192;9.862;10.791;11.387;11.72;12.259;12.641;13.235;14.444;15.804;16.604;17.177;18.075;18.691;19.934;22.331
1193;9.865;10.795;11.391;11.725;12.264;12.646;13.241;14.451;15.811;16.612;17.185;18.083;18.7;19.944;22.343
1194;9.869;10.799;11.396;11.729;12.269;12.652;13.246;14.457;15.818;16.62;17.193;18.092;18.709;19.953;22.354
1195;9.872;10.803;11.4;11.734;12.274;12.656;13.251;14.463;15.825;16.627;17.201;18.1;18.718;19.963;22.366
1196;9.876;10.807;11.404;11.738;12.278;12.662;13.257;14.469;15.832;16.635;17.209;18.109;18.727;19.973;22.377
1197;9.879;10.811;11.409;11.743;12.283;12.667;13.262;14.475;15.839;16.642;17.217;18.118;18.736;19.983;22.389
1198;9.883;10.815;11.413;11.747;12.288;12.672;13.268;14.481;15.846;16.65;17.224;18.126;18.745;19.993;22.401
1199;9.887;10.819;11.417;11.752;12.293;12.677;13.273;14.487;15.853;16.657;17.232;18.135;18.754;20.003;22.413
1200;9.89;10.823;11.422;11.757;12.298;12.682;13.279;14.494;15.86;16.665;17.24;18.143;18.763;20.012;22.424
1201;9.894;10.827;11.426;11.761;12.303;12.687;13.284;14.5;15.867;16.672;17.248;18.152;18.772;20.022;22.436
1202;9.897;10.831;11.43;11.765;12.307;12.692;13.289;14.506;15.875;16.68;17.256;18.16;18.781;20.033;22.448
