Age;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
60;3.387;3.754;3.985;4.112;4.315;4.457;4.674;5.105;5.571;5.837;6.023;6.31;6.502;6.88;7.574
61;3.407;3.776;4.007;4.135;4.338;4.481;4.699;5.132;5.6;5.866;6.054;6.341;6.534;6.913;7.61
62;3.427;3.797;4.029;4.157;4.362;4.505;4.724;5.158;5.628;5.896;6.084;6.372;6.566;6.947;7.647
63;3.447;3.818;4.051;4.18;4.385;4.529;4.748;5.184;5.656;5.925;6.114;6.403;6.598;6.981;7.684
64;3.466;3.839;4.073;4.202;4.408;4.552;4.773;5.21;5.684;5.954;6.143;6.434;6.63;7.014;7.72
65;3.486;3.86;4.095;4.224;4.431;4.575;4.797;5.236;5.711;5.982;6.173;6.465;6.661;7.047;7.756
66;3.505;3.88;4.116;4.246;4.453;4.599;4.821;5.262;5.739;6.011;6.202;6.495;6.692;7.079;7.791
67;3.524;3.901;4.137;4.268;4.476;4.622;4.845;5.287;5.766;6.039;6.231;6.525;6.723;7.112;7.826
68;3.543;3.921;4.158;4.289;4.498;4.644;4.868;5.312;5.793;6.067;6.259;6.555;6.753;7.144;7.861
69;3.562;3.941;4.179;4.311;4.52;4.667;4.892;5.337;5.819;6.095;6.288;6.584;6.784;7.175;7.896
70;3.581;3.961;4.2;4.332;4.542;4.689;4.915;5.362;5.846;6.122;6.316;6.614;6.814;7.207;7.93
71;3.599;3.981;4.221;4.353;4.564;4.712;4.938;5.386;5.872;6.149;6.344;6.643;6.843;7.238;7.964
72;3.618;4.001;4.241;4.374;4.585;4.734;4.961;5.411;5.898;6.176;6.372;6.672;6.873;7.269;7.999
73;3.636;4.02;4.261;4.394;4.607;4.755;4.983;5.435;5.924;6.203;6.399;6.7;6.903;7.3;8.032
74;3.654;4.039;4.281;4.415;4.628;4.777;5.006;5.459;5.95;6.23;6.426;6.728;6.932;7.331;8.065
75;3.672;4.059;4.301;4.435;4.649;4.799;5.028;5.483;5.975;6.256;6.453;6.757;6.96;7.361;8.099
76;3.69;4.078;4.321;4.455;4.67;4.82;5.05;5.506;6;6.282;6.48;6.785;6.989;7.391;8.132
77;3.707;4.096;4.341;4.475;4.691;4.841;5.072;5.53;6.025;6.308;6.507;6.812;7.018;7.421;8.164
78;3.725;4.115;4.36;4.495;4.711;4.862;5.094;5.553;6.05;6.334;6.534;6.84;7.046;7.451;8.197
79;3.742;4.134;4.379;4.515;4.731;4.883;5.115;5.576;6.075;6.36;6.56;6.867;7.074;7.48;8.229
80;3.76;4.152;4.399;4.535;4.752;4.904;5.137;5.599;6.099;6.385;6.586;6.894;7.102;7.51;8.261
81;3.777;4.17;4.418;4.554;4.772;4.924;5.158;5.621;6.124;6.411;6.612;6.921;7.129;7.539;8.293
82;3.794;4.188;4.436;4.573;4.792;4.945;5.179;5.644;6.148;6.436;6.638;6.948;7.157;7.568;8.324
83;3.811;4.207;4.455;4.592;4.812;4.965;5.2;5.666;6.172;6.46;6.663;6.975;7.184;7.596;8.356
84;3.827;4.224;4.474;4.611;4.831;4.985;5.221;5.688;6.195;6.485;6.688;7.001;7.211;7.625;8.386
85;3.844;4.242;4.492;4.63;4.851;5.005;5.241;5.71;6.219;6.51;6.714;7.027;7.238;7.653;8.417
86;3.86;4.26;4.51;4.649;4.87;5.025;5.262;5.732;6.243;6.534;6.739;7.053;7.265;7.681;8.448
87;3.877;4.277;4.529;4.667;4.889;5.044;5.282;5.754;6.266;6.558;6.763;7.079;7.291;7.709;8.478
88;3.893;4.294;4.547;4.686;4.908;5.064;5.302;5.776;6.289;6.582;6.788;7.105;7.318;7.737;8.509
89;3.909;4.312;4.565;4.704;4.927;5.083;5.322;5.797;6.312;6.606;6.812;7.13;7.344;7.764;8.539
90;3.925;4.329;4.582;4.722;4.946;5.102;5.342;5.818;6.335;6.629;6.837;7.155;7.369;7.791;8.569
91;3.941;4.346;4.6;4.74;4.965;5.121;5.362;5.839;6.357;6.653;6.861;7.18;7.395;7.819;8.599
92;3.957;4.363;4.617;4.758;4.983;5.14;5.382;5.86;6.38;6.676;6.885;7.205;7.421;7.845;8.628
93;3.972;4.379;4.635;4.776;5.001;5.159;5.401;5.881;6.402;6.7;6.909;7.23;7.446;7.872;8.657
